Date,POR,VW,BMW,Vol_POR,Vol_VW,Vol_BMW
2020-04-28,37.670345306396484,112.60343170166016,44.2118034362793,942160.0,1769321.0,2126371.0
2020-04-29,40.12454605102539,119.12625122070312,46.7833366394043,1026926.0,2030413.0,2842964.0
2020-04-30,38.68732452392578,114.5692138671875,45.42193603515625,771135.0,1866418.0,2625725.0
2020-05-01,38.68732452392578,114.5692138671875,45.42193603515625,771135.0,1866418.0,2625725.0
2020-05-04,36.67857360839844,108.15361785888672,43.33781814575195,712954.0,1664524.0,2623809.0
2020-05-05,38.40996170043945,113.65779876708984,44.968135833740234,554444.0,1240330.0,1947394.0
2020-05-06,38.08218002319336,113.35399627685547,42.539466857910156,554635.0,1052322.0,3079088.0
2020-05-07,38.65370559692383,113.60419464111328,41.48481369018555,580305.0,925883.0,2708186.0
2020-05-08,39.502586364746094,115.1946792602539,43.211769104003906,468975.0,839718.0,2197345.0
2020-05-11,38.704132080078125,113.74716186523438,43.16975021362305,506185.0,931126.0,2401288.0
2020-05-12,38.90584945678711,113.63993072509766,42.74116516113281,424922.0,809502.0,1539118.0
2020-05-13,36.014591217041016,107.00989532470703,40.951175689697266,1286367.0,1455973.0,2671455.0
2020-05-14,34.66982650756836,104.02548217773438,39.56456756591797,1168356.0,1896912.0,4025076.0
2020-05-15,35.69520950317383,108.33232116699219,41.40168762207031,768954.0,1481815.0,3502835.0
2020-05-18,38.28388977050781,117.30343627929688,44.59667205810547,745369.0,2465763.0,2765408.0
2020-05-19,38.40155792236328,118.17909240722656,44.41917037963867,598491.0,1677762.0,2315191.0
2020-05-20,41.61220932006836,119.28707885742188,45.12916564941406,715947.0,1498262.0,1641527.0
2020-05-21,41.30557632446289,118.37566375732422,44.436920166015625,438142.0,1096617.0,1347915.0
2020-05-22,41.99100112915039,118.64373779296875,44.445796966552734,731161.0,1533998.0,1369506.0
2020-05-25,42.74856948852539,119.69811248779297,44.632171630859375,245297.0,1071253.0,1796645.0
2020-05-26,44.40800476074219,122.27147674560547,46.0344123840332,747063.0,1489657.0,2720565.0
2020-05-27,45.81492233276367,125.20228576660156,48.27090072631836,993371.0,2983830.0,4266200.0
2020-05-28,45.796878814697266,122.61103820800781,47.924781799316406,714475.0,2347733.0,2340231.0
2020-05-29,44.11038589477539,118.39354705810547,46.68228530883789,847121.0,2092400.0,3477078.0
2020-06-01,44.11038589477539,118.39354705810547,46.68228530883789,847121.0,2092400.0,3477078.0
2020-06-02,45.86903381347656,125.18443298339844,49.122894287109375,742803.0,2550624.0,2911717.0
2020-06-03,47.47435760498047,127.88289642333984,51.45701217651367,575533.0,1901615.0,2928586.0
2020-06-04,46.93323516845703,126.56046295166016,51.536888122558594,686021.0,2515197.0,2655148.0
2020-06-05,49.74706268310547,133.1190185546875,52.806007385253906,947520.0,2604780.0,4307916.0
2020-06-08,50.01762390136719,132.6901092529297,53.85325241088867,912505.0,1951722.0,2789528.0
2020-06-09,48.3040771484375,130.06312561035156,52.726131439208984,1035533.0,2267115.0,2856264.0
2020-06-10,47.81707000732422,127.9365005493164,52.2646369934082,872846.0,1350242.0,2191842.0
2020-06-11,44.20056915283203,118.32206726074219,49.36252212524414,1116008.0,2492394.0,3214148.0
2020-06-12,45.20164489746094,119.69811248779297,49.8328971862793,963971.0,1905266.0,2348746.0
2020-06-15,45.760807037353516,121.84260559082031,49.6553955078125,656658.0,1522464.0,1887970.0
2020-06-16,46.734825134277344,122.03917694091797,50.649391174316406,851103.0,2317667.0,2628679.0
2020-06-17,46.193702697753906,119.85894012451172,50.81801223754883,949131.0,1704489.0,1759639.0
2020-06-18,46.44622802734375,118.46503448486328,50.68489074707031,691890.0,1551792.0,2039514.0
2020-06-19,46.59052276611328,116.76729583740234,50.525146484375,4353986.0,2353687.0,3912795.0
2020-06-22,45.92314147949219,116.4098892211914,50.90676498413086,546404.0,1032048.0,1442690.0
2020-06-23,47.257911682128906,121.69963073730469,51.8386344909668,761283.0,1575288.0,2185453.0
2020-06-24,44.35388946533203,115.82015228271484,49.859519958496094,782027.0,1227317.0,1797898.0
